シフト,,委員長,執行部関係者,,,総務局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企画局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,財務局,,,,,,,,,,,,,,,,,,,,,,渉外局,,,,,,,,,,,,,,,,,,,,,,,制作局,,,,,,,,,,,,,情報局,,,,,,,,,,,,,,,,,,,,,,,,タスク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:30,11:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,参加団体対応,参加団体対応,参加団体対応,総務対応,衛生対応,衛生対応,衛生対応,衛生対応,衛生対応,調理場管理,,物品対応,物品対応,調理場管理,物品対応,物品対応,会場電力対応,調理場管理,会場電力対応,会場電力対応,,,,,音響テント待機,ヒーローショー,音響テント待機,縁日,ヒーローショー,休憩,ヒーローショー,ヒーローショー,ヒーローショー,共通テスト運営,ヒーローショー,ヒーローショー,ヒーローショー,休憩,音響テント待機,共通テスト運営,縁日,ヒーローショー,共通テスト運営,ヒーローショー,休憩,ヒーローショー,音響テント待機,院講待機,ヒーローショー,縁日,ヒーローショー,共通テスト運営,共通テスト運営,吹奏楽,共通テスト運営,音響テント待機,院講待機,案内所講義棟,院講待機,,,屋外巡回,,院講待機,院講待機,,院講待機,,院講待機,屋内巡回,屋内巡回,,縁日,休憩,カメラ巡回,縁日,カメラ巡回,院講待機,,"企業ブース
見張り","企業ブース
見張り","音響業者の
臨時対応",駐車場管理,"ゴミコンテナ
待機",,調理場管理,休憩,,"企業ブース開催
事前準備","企業ブース開催
事前準備",院講待機,,縁日,,縁日,駐車場管理,案内所プール,院講待機,,吹奏楽,院講待機,院講待機,院講待機,院講待機,院講待機,カメラ巡回,院講待機,院講待機,院講待機,縁日,"ゴミコンテナ
待機",院講待機,休憩,院講管理,駐車場管理,院講待機,駐車場管理,カメラ巡回,院講待機,,屋外巡回,"機械棟前
ゴミ箱管理",案内所プール,調理場管理,"機械棟前
ゴミ箱管理",院講待機,案内所講義棟,"福利棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",屋内巡回,院講待機,"物質・材料棟前
ゴミ箱管理",院講待機,"物質・材料棟前
ゴミ箱管理",院講待機,案内所プール,案内所講義棟,,,6,25,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,,,5,8,,,,13,,,6,,,,,,,,,1,,,2,,,,
11:00,11:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,参加団体対応,参加団体対応,参加団体対応,総務対応,調理場管理,衛生対応,衛生対応,衛生対応,衛生対応,調理場管理,,物品対応,物品対応,調理場管理,,物品対応,会場電力対応,調理場管理,会場電力対応,会場電力対応,,,,,音響テント待機,ヒーローショー,音響テント待機,縁日,ヒーローショー,縁日,ヒーローショー,ヒーローショー,ヒーローショー,共通テスト運営,ヒーローショー,ヒーローショー,ヒーローショー,音響テント待機,休憩,共通テスト運営,縁日,ヒーローショー,共通テスト運営,ヒーローショー,休憩,ヒーローショー,休憩,音響テント待機,ヒーローショー,縁日,ヒーローショー,共通テスト運営,共通テスト運営,吹奏楽,共通テスト運営,院講待機,休憩,案内所講義棟,"業者向け
ケータリング",,,休憩,,休憩,"業者向け
ケータリング",,縁日,,"ゴミコンテナ
待機",カメラ巡回,休憩,,休憩,院講待機,休憩,縁日,屋外巡回,カメラ巡回,,"企業ブース
見張り","企業ブース
見張り","音響業者の
臨時対応",休憩,院講待機,,駐車場管理,休憩,,縁日,院講待機,駐車場管理,,休憩,,縁日,休憩,院講待機,"ゴミコンテナ
待機",,吹奏楽,休憩,"物質・材料棟前
ゴミ箱管理",屋内巡回,"機械棟前
ゴミ箱管理",休憩,休憩,屋外巡回,カメラ巡回,吹奏楽,縁日,屋内巡回,案内所プール,案内所講義棟,院講管理,駐車場管理,"機械棟前
ゴミ箱管理",駐車場管理,"物質・材料棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",,休憩,休憩,案内所プール,調理場管理,院講待機,"福利棟前
ゴミ箱管理",休憩,案内所プール,休憩,院講待機,案内所講義棟,しゅがく,院講待機,休憩,カメラ巡回,休憩,休憩,,,23,8,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,,,4,9,,,,13,,,6,,,2,,,,,,1,,2,,,,,
11:30,12:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,調理場管理,参加団体対応,参加団体対応,総務対応,調理場管理,衛生対応,衛生対応,衛生対応,調理場管理,物品対応,,物品対応,物品対応,物品対応,,物品対応,会場電力対応,調理場管理,会場電力対応,会場電力対応,,,,,音響テント待機,音響テント待機,休憩,休憩,休憩,縁日,院講待機,休憩,院講待機,共通テスト運営,休憩,休憩,院講待機,音響テント待機,休憩,共通テスト運営,縁日,休憩,共通テスト運営,休憩,縁日,休憩,休憩,音響テント待機,休憩,休憩,音響テント待機,共通テスト運営,共通テスト運営,院講待機,共通テスト運営,院講待機,休憩,案内所講義棟,院講待機,,,休憩,,休憩,院講待機,,縁日,,"ゴミコンテナ
待機",カメラ巡回,休憩,,休憩,院講待機,休憩,縁日,屋外巡回,カメラ巡回,,"企業ブース
見張り","企業ブース
見張り","音響業者の
臨時対応",休憩,駐車場管理,,駐車場管理,駐車場管理,,縁日,院講待機,駐車場管理,,休憩,,縁日,休憩,院講待機,"ゴミコンテナ
待機",,,休憩,"物質・材料棟前
ゴミ箱管理",屋内巡回,"機械棟前
ゴミ箱管理",休憩,休憩,屋外巡回,カメラ巡回,,縁日,屋内巡回,案内所プール,案内所講義棟,院講管理,休憩,"機械棟前
ゴミ箱管理",院講待機,"物質・材料棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",,休憩,休憩,案内所プール,調理場管理,院講待機,"福利棟前
ゴミ箱管理",休憩,案内所プール,休憩,休憩,案内所講義棟,しゅがく,院講待機,休憩,カメラ巡回,休憩,休憩,,,34,13,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,,,5,8,,,,,,,6,,,,,,,,,1,,2,,,,,
12:00,12:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,参加団体対応,調理場管理,調理場管理,参加団体対応,総務対応,調理場管理,衛生対応,調理場管理,衛生対応,調理場管理,物品対応,,物品対応,物品対応,物品対応,ストスタ,物品対応,会場電力対応,調理場管理,会場電力対応,会場電力対応,,,,,音響テント待機,音響テント待機,ストスタ,休憩,休憩,縁日,休憩,休憩,ギダイジャー巡回,休憩,休憩,休憩,休憩,音響テント待機,音響テント待機,休憩,院講待機,休憩,院講待機,休憩,院講待機,休憩,ストスタ,縁日,休憩,休憩,ギダイジャー巡回,休憩,休憩,休憩,院講待機,休憩,院講待機,休憩,休憩,,,縁日,,"福利棟前
ゴミ箱管理",休憩,,縁日,,"物質・材料棟前
ゴミ箱管理",休憩,駐車場管理,ストスタ,休憩,カメラ巡回,駐車場管理,屋内巡回,休憩,休憩,,"企業ブース
見張り",休憩,"音響業者の
臨時対応","企業ブース
見張り",駐車場管理,,,駐車場管理,,縁日,"ゴミコンテナ
待機",院講待機,,"ゴミコンテナ
待機",,縁日,"福利棟前
ゴミ箱管理",院講待機,休憩,,ストスタ,休憩,カメラ巡回,院講待機,休憩,案内所講義棟,,"物質・材料棟前
ゴミ箱管理",休憩,休憩,縁日,休憩,案内所プール,案内所講義棟,院講管理,休憩,休憩,屋外巡回,休憩,休憩,,"機械棟前
ゴミ箱管理",縁日,院講待機,休憩,カメラ巡回,休憩,案内所プール,案内所プール,カメラ巡回,休憩,案内所講義棟,しゅがく,"機械棟前
ゴミ箱管理",屋外巡回,休憩,屋内巡回,カメラ巡回,,,40,9,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,2,,4,8,,,,,,,,,,,,,,,,1,,2,,,,,
12:30,13:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,参加団体対応,調理場管理,調理場管理,参加団体対応,総務対応,調理場管理,衛生対応,調理場管理,衛生対応,調理場管理,物品対応,,調理場管理,物品対応,物品対応,ストスタ,物品対応,会場電力対応,しゅがく,会場電力対応,会場電力対応,,,,,音響テント待機,ゲーム大会,ストスタ,気配切り運営,気配切り運営,縁日,休憩,気配切り運営,ギダイジャー巡回,休憩,気配切り運営,音響テント待機,休憩,ゲーム大会,音響テント待機,休憩,院講待機,気配切り運営,しゅがく,気配切り運営,ゲーム大会,気配切り運営,ストスタ,縁日,気配切り運営,ゲーム大会,ギダイジャー巡回,休憩,ゲーム大会,休憩,音響テント待機,休憩,駐車場管理,休憩,休憩,,,縁日,,"福利棟前
ゴミ箱管理",休憩,,縁日,,"物質・材料棟前
ゴミ箱管理",休憩,駐車場管理,ストスタ,休憩,カメラ巡回,駐車場管理,屋内巡回,休憩,休憩,,"企業ブース
見張り",休憩,"音響業者の
臨時対応","企業ブース
見張り",院講待機,,,院講待機,,縁日,"ゴミコンテナ
待機",院講待機,,"ゴミコンテナ
待機",,縁日,"福利棟前
ゴミ箱管理",休憩,休憩,,ストスタ,休憩,カメラ巡回,院講待機,休憩,案内所講義棟,,"物質・材料棟前
ゴミ箱管理",休憩,休憩,縁日,休憩,案内所プール,案内所講義棟,院講管理,院講待機,休憩,屋外巡回,休憩,休憩,,"機械棟前
ゴミ箱管理",縁日,院講待機,休憩,カメラ巡回,休憩,案内所プール,案内所プール,カメラ巡回,駐車場管理,案内所講義棟,院講待機,"機械棟前
ゴミ箱管理",屋外巡回,休憩,屋内巡回,カメラ巡回,,,28,8,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,2,,4,8,,5,,,,,,8,,,,,,,,1,,2,,,,,
13:00,13:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,参加団体対応,参加団体対応,調理場管理,参加団体対応,総務対応,衛生対応,調理場管理,調理場管理,衛生対応,調理場管理,物品対応,,調理場管理,物品対応,物品対応,ストスタ,物品対応,会場電力対応,しゅがく,会場電力対応,調理場管理,,,,,音響テント待機,ゲーム大会,ストスタ,気配切り運営,気配切り運営,カラオケ大会運営,カラオケ大会運営,気配切り運営,休憩,ギダイジャー巡回,気配切り運営,カラオケ大会運営,カラオケ大会運営,ゲーム大会,カラオケ大会運営,ギダイジャー巡回,音響テント待機,気配切り運営,しゅがく,気配切り運営,ゲーム大会,気配切り運営,ストスタ,縁日,気配切り運営,ゲーム大会,縁日,音響テント待機,ゲーム大会,カラオケ大会運営,音響テント待機,カラオケ大会運営,駐車場管理,駐車場管理,案内所講義棟,,,縁日,,屋外巡回,"企業ブース
ケータリング",,休憩,,休憩,案内所プール,"物質・材料棟前
ゴミ箱管理",ストスタ,カメラ巡回,縁日,屋内巡回,休憩,案内所プール,"福利棟前
ゴミ箱管理",,休憩,"企業ブース
見張り","音響業者の
臨時対応","企業ブース
見張り",休憩,,,院講待機,,休憩,休憩,"機械棟前
ゴミ箱管理",,院講待機,,縁日,休憩,休憩,院講待機,,ストスタ,縁日,休憩,"機械棟前
ゴミ箱管理",院講待機,案内所講義棟,,休憩,縁日,屋内巡回,カメラ巡回,"物質・材料棟前
ゴミ箱管理",休憩,屋外巡回,院講管理,縁日,院講待機,"ゴミコンテナ
待機",院講待機,カメラ巡回,,カメラ巡回,縁日,休憩,院講待機,休憩,"ゴミコンテナ
待機",案内所プール,休憩,院講待機,駐車場管理,休憩,休憩,駐車場管理,休憩,案内所講義棟,"福利棟前
ゴミ箱管理",院講待機,,,19,9,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,2,,4,9,,5,7,,,,,8,,,1,,,,,1,,2,,,,,
13:30,14:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,参加団体対応,参加団体対応,調理場管理,参加団体対応,総務対応,衛生対応,調理場管理,調理場管理,衛生対応,調理場管理,物品対応,,調理場管理,物品対応,物品対応,,物品対応,会場電力対応,しゅがく,会場電力対応,調理場管理,,,,,音響テント待機,ゲーム大会,休憩,気配切り運営,気配切り運営,カラオケ大会運営,カラオケ大会運営,気配切り運営,休憩,ギダイジャー巡回,気配切り運営,カラオケ大会運営,カラオケ大会運営,ゲーム大会,カラオケ大会運営,ギダイジャー巡回,音響テント待機,気配切り運営,しゅがく,気配切り運営,ゲーム大会,気配切り運営,カラオケ大会運営,縁日,気配切り運営,ゲーム大会,縁日,音響テント待機,ゲーム大会,カラオケ大会運営,音響テント待機,カラオケ大会運営,院講待機,駐車場管理,案内所講義棟,,,縁日,,屋外巡回,院講待機,,休憩,,休憩,案内所プール,"物質・材料棟前
ゴミ箱管理",,カメラ巡回,縁日,屋内巡回,休憩,案内所プール,"福利棟前
ゴミ箱管理",,休憩,"企業ブース
見張り","音響業者の
臨時対応","企業ブース
見張り",休憩,,,院講待機,,駐車場管理,休憩,"機械棟前
ゴミ箱管理",,院講待機,,縁日,休憩,駐車場管理,院講待機,,,縁日,休憩,"機械棟前
ゴミ箱管理",院講待機,案内所講義棟,,休憩,縁日,屋内巡回,カメラ巡回,"物質・材料棟前
ゴミ箱管理",休憩,屋外巡回,院講管理,縁日,院講待機,"ゴミコンテナ
待機",院講待機,カメラ巡回,,カメラ巡回,縁日,休憩,院講待機,休憩,"ゴミコンテナ
待機",案内所プール,休憩,院講待機,院講待機,休憩,休憩,駐車場管理,休憩,案内所講義棟,"福利棟前
ゴミ箱管理",院講待機,,,18,12,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,2,,4,9,,5,8,,,,,8,,,,,,,,1,,2,,,,,
14:00,14:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,参加団体対応,参加団体対応,参加団体対応,参加団体対応,総務対応,衛生対応,調理場管理,調理場管理,衛生対応,衛生対応,物品対応,,調理場管理,物品対応,物品対応,,調理場管理,調理場管理,会場電力対応,会場電力対応,調理場管理,,,,,音響テント待機,ゲーム大会,音響テント待機,気配切り運営,気配切り運営,カラオケ大会運営,カラオケ大会運営,気配切り運営,合唱,縁日,気配切り運営,カラオケ大会運営,カラオケ大会運営,ゲーム大会,カラオケ大会運営,音響テント待機,休憩,気配切り運営,音響テント待機,気配切り運営,ゲーム大会,気配切り運営,カラオケ大会運営,休憩,気配切り運営,ゲーム大会,休憩,ギダイジャー巡回,ゲーム大会,カラオケ大会運営,休憩,カラオケ大会運営,ギダイジャー巡回,縁日,案内所講義棟,,,"物質・材料棟前
ゴミ箱管理",,縁日,案内所プール,,"物質・材料棟前
ゴミ箱管理",,カメラ巡回,案内所プール,休憩,カメラ巡回,"機械棟前
ゴミ箱管理",縁日,休憩,休憩,案内所プール,院講待機,,"企業ブース終演後の
物品撤去の手伝い","企業ブース終演後の
物品撤去の手伝い","音響業者の
臨時対応","企業ブース終演後の
物品撤去の手伝い","企業ブース終演後の
物品撤去の手伝い",,しゅがく,"企業ブース終演後の
物品撤去の手伝い",,駐車場管理,"企業ブース終演後の
物品撤去の手伝い",休憩,,"機械棟前
ゴミ箱管理",,院講待機,院講待機,駐車場管理,院講待機,,休憩,縁日,"福利棟前
ゴミ箱管理",休憩,案内所講義棟,カメラ巡回,,屋内巡回,縁日,院講待機,休憩,院講待機,屋外巡回,休憩,院講管理,縁日,休憩,休憩,屋内巡回,院講待機,,"ゴミコンテナ
待機",院講待機,屋外巡回,しゅがく,縁日,縁日,カメラ巡回,駐車場管理,駐車場管理,休憩,休憩,縁日,休憩,"ゴミコンテナ
待機",案内所講義棟,院講待機,"福利棟前
ゴミ箱管理",,,17,9,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,2,,4,10,,5,8,,,,,8,,,,,,,,1,,,,6,,,
14:30,15:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,参加団体対応,参加団体対応,参加団体対応,参加団体対応,総務対応,衛生対応,調理場管理,衛生対応,衛生対応,衛生対応,物品対応,,調理場管理,物品対応,調理場管理,,調理場管理,調理場管理,会場電力対応,会場電力対応,調理場管理,,,,,音響テント待機,ゲーム大会,音響テント待機,院講待機,音響テント待機,カラオケ大会運営,カラオケ大会運営,音響テント待機,合唱,縁日,院講待機,カラオケ大会運営,カラオケ大会運営,ゲーム大会,カラオケ大会運営,院講待機,休憩,院講待機,院講待機,院講待機,ゲーム大会,院講待機,カラオケ大会運営,休憩,院講待機,ゲーム大会,休憩,ギダイジャー巡回,ゲーム大会,カラオケ大会運営,休憩,カラオケ大会運営,ギダイジャー巡回,縁日,案内所講義棟,,,"物質・材料棟前
ゴミ箱管理",,縁日,案内所プール,,"物質・材料棟前
ゴミ箱管理",,カメラ巡回,案内所プール,休憩,カメラ巡回,"機械棟前
ゴミ箱管理",縁日,休憩,休憩,案内所プール,院講待機,,"企業ブース終演後の
物品撤去の手伝い","企業ブース終演後の
物品撤去の手伝い","音響業者の
臨時対応","企業ブース終演後の
物品撤去の手伝い","企業ブース終演後の
物品撤去の手伝い",,しゅがく,"企業ブース終演後の
物品撤去の手伝い",,休憩,"企業ブース終演後の
物品撤去の手伝い",休憩,,"機械棟前
ゴミ箱管理",,駐車場管理,院講待機,院講待機,駐車場管理,,休憩,縁日,"福利棟前
ゴミ箱管理",休憩,案内所講義棟,カメラ巡回,院講待機,屋内巡回,縁日,院講待機,休憩,院講待機,屋外巡回,休憩,院講管理,縁日,休憩,休憩,屋内巡回,院講待機,,"ゴミコンテナ
待機",院講待機,屋外巡回,しゅがく,縁日,縁日,カメラ巡回,駐車場管理,駐車場管理,休憩,休憩,縁日,休憩,"ゴミコンテナ
待機",案内所講義棟,院講待機,"福利棟前
ゴミ箱管理",,,18,17,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,2,,4,10,,5,8,,,,,,,,,,,,,1,,,,6,,,
15:00,15:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,参加団体対応,参加団体対応,参加団体対応,総務対応,衛生対応,調理場管理,衛生対応,衛生対応,衛生対応,物品対応,,物品対応,物品対応,調理場管理,,調理場管理,調理場管理,会場電力対応,会場電力対応,調理場管理,,,,,音響テント待機,ゲーム大会,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,カラオケ大会運営,カラオケ大会運営,ビンゴ大会運営,合唱,縁日,音響テント待機,カラオケ大会運営,カラオケ大会運営,ゲーム大会,カラオケ大会運営,縁日,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ゲーム大会,ビンゴ大会運営,カラオケ大会運営,ビンゴ大会運営,ビンゴ大会運営,ゲーム大会,音響テント待機,ギダイジャー巡回,ゲーム大会,カラオケ大会運営,ビンゴ大会運営,カラオケ大会運営,ギダイジャー巡回,縁日,休憩,,,院講待機,,縁日,案内所プール,,院講待機,,院講待機,"ゴミコンテナ
待機",案内所プール,,院講待機,休憩,"物質・材料棟前
ゴミ箱管理",案内所プール,院講待機,屋内巡回,,"企業ブース終演後の
物品撤去の手伝い","企業ブース終演後の
物品撤去の手伝い","音響業者の
臨時対応","企業ブース終演後の
物品撤去の手伝い","企業ブース終演後の
物品撤去の手伝い",,しゅがく,"企業ブース終演後の
物品撤去の手伝い",,休憩,"企業ブース終演後の
物品撤去の手伝い",院講待機,,休憩,,駐車場管理,案内所講義棟,"福利棟前
ゴミ箱管理",駐車場管理,,休憩,縁日,院講待機,院講待機,案内所講義棟,"ゴミコンテナ
待機",カメラ巡回,カメラ巡回,"機械棟前
ゴミ箱管理",休憩,屋外巡回,カメラ巡回,縁日,"機械棟前
ゴミ箱管理",院講管理,屋外巡回,駐車場管理,ビンゴ大会運営,院講待機,ビンゴ大会運営,,院講待機,駐車場管理,縁日,しゅがく,縁日,縁日,休憩,休憩,休憩,"福利棟前
ゴミ箱管理",カメラ巡回,縁日,案内所講義棟,屋内巡回,"物質・材料棟前
ゴミ箱管理",休憩,休憩,,,11,10,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,2,,4,10,,5,8,,13,,,,,,,,,,,1,,,,6,,,
