シフト,,委員長,執行部関係者,,,総務局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企画局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,財務局,,,,,,,,,,,,,,,,,,,,,,渉外局,,,,,,,,,,,,,,,,,,,,,,,制作局,,,,,,,,,,,,,情報局,,,,,,,,,,,,,,,,,,,,,,,,タスク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:30,16:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,国際交流対応,国際交流対応,国際交流対応,国際交流対応,国際交流対応,調理場管理,参加団体対応,参加団体対応,参加団体対応,総務対応,衛生対応,調理場管理,衛生対応,衛生対応,衛生対応,物品対応,,物品対応,物品対応,調理場管理,,調理場管理,調理場管理,会場電力対応,会場電力対応,調理場管理,,,,,音響テント待機,ゲーム大会,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,カラオケ大会運営,カラオケ大会運営,ビンゴ大会運営,合唱,縁日,音響テント待機,カラオケ大会運営,カラオケ大会運営,ゲーム大会,カラオケ大会運営,縁日,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ゲーム大会,ビンゴ大会運営,カラオケ大会運営,ビンゴ大会運営,ビンゴ大会運営,ゲーム大会,音響テント待機,ビンゴ大会運営,ゲーム大会,カラオケ大会運営,ビンゴ大会運営,カラオケ大会運営,院講待機,縁日,休憩,,,院講待機,,縁日,案内所プール,,院講待機,,院講待機,"ゴミコンテナ
待機",案内所プール,,駐車場管理,休憩,"物質・材料棟前
ゴミ箱管理",案内所プール,駐車場管理,屋内巡回,,ビンゴ大会運営,院講待機,"音響業者の
臨時対応",院講待機,院講待機,,,休憩,,ビンゴ大会運営,ビンゴ大会運営,院講待機,,休憩,,院講待機,案内所講義棟,"福利棟前
ゴミ箱管理",院講待機,,休憩,縁日,院講待機,院講待機,案内所講義棟,"ゴミコンテナ
待機",カメラ巡回,カメラ巡回,"機械棟前
ゴミ箱管理",休憩,屋外巡回,カメラ巡回,縁日,"機械棟前
ゴミ箱管理",院講管理,屋外巡回,駐車場管理,ビンゴ大会運営,院講待機,ビンゴ大会運営,,院講待機,駐車場管理,縁日,院講待機,縁日,縁日,休憩,休憩,休憩,"福利棟前
ゴミ箱管理",カメラ巡回,縁日,案内所講義棟,屋内巡回,"物質・材料棟前
ゴミ箱管理",休憩,休憩,,,11,15,1,,3,3,,6,,,4,2,2,2,,,,,,4,0,0,2,,,4,10,,5,8,,17,,,,,,,,,,,1,,,,,,,
16:00,16:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,"調理場テント
片付け、撤収",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,閉店チェック,物品対応,閉店チェック,,閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,,,,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,縁日片付け,駐車場管理,,,"調理場テント
片付け、撤収",,院講待機,院講待機,,カメラ巡回,,"調理場テント
片付け、撤収","物質・材料棟前
ゴミ箱管理",案内所プール,,駐車場管理,"物質・材料棟前
ゴミ箱管理",院講待機,案内所プール,駐車場管理,院講待機,,ビンゴ大会運営,カメラ巡回,"音響業者の
臨時対応",案内所講義棟,屋内巡回,,カメラ巡回,休憩,,ビンゴ大会運営,ビンゴ大会運営,屋内巡回,,駐車場管理,,屋外巡回,案内所講義棟,院講待機,院講待機,,"調理場テント
片付け、撤収","機械棟前
ゴミ箱管理",ビンゴ受付,ビンゴ受付,院講待機,屋外巡回,案内所プール,ビンゴ受付,休憩,"機械棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",院講待機,院講待機,カメラ巡回,院講管理,"福利棟前
ゴミ箱管理",院講待機,ビンゴ大会運営,"Bingoアプリ
運営",ビンゴ大会運営,,"調理場テント
片付け、撤収",ビンゴ受付,院講待機,"調理場テント
片付け、撤収",院講待機,院講待機,ビンゴ受付,"Bingoアプリ
運営",ビンゴ受付,院講待機,院講待機,院講待機,案内所講義棟,"Bingoアプリ
運営",休憩,"Bingoアプリ
運営","Bingoアプリ
運営",,,3,16,1,,3,3,,,6,,4,2,2,2,,,,,,4,0,0,2,,,4,,,,,,29,6,,,,,,,,,,1,,,,,,,5
16:30,17:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,"調理場テント
片付け、撤収",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,閉店チェック,物品対応,閉店チェック,,閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,,,,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,縁日片付け,ビンゴ大会運営,縁日片付け,駐車場管理,,,"調理場テント
片付け、撤収",,院講待機,院講待機,,カメラ巡回,,"調理場テント
片付け、撤収","物質・材料棟前
ゴミ箱管理",案内所プール,,院講待機,"物質・材料棟前
ゴミ箱管理",院講待機,案内所プール,院講待機,院講待機,,ビンゴ大会運営,カメラ巡回,"音響業者の
臨時対応",案内所講義棟,屋内巡回,,カメラ巡回,院講待機,,ビンゴ大会運営,ビンゴ大会運営,屋内巡回,,駐車場管理,,屋外巡回,案内所講義棟,院講待機,院講待機,,"調理場テント
片付け、撤収","機械棟前
ゴミ箱管理",ビンゴ受付,ビンゴ受付,駐車場管理,屋外巡回,案内所プール,ビンゴ受付,休憩,"機械棟前
ゴミ箱管理","福利棟前
ゴミ箱管理",院講待機,院講待機,カメラ巡回,院講管理,"福利棟前
ゴミ箱管理",院講待機,ビンゴ大会運営,"Bingoアプリ
運営",ビンゴ大会運営,,"調理場テント
片付け、撤収",ビンゴ受付,院講待機,"調理場テント
片付け、撤収",駐車場管理,院講待機,ビンゴ受付,"Bingoアプリ
運営",ビンゴ受付,院講待機,院講待機,院講待機,案内所講義棟,"Bingoアプリ
運営",休憩,"Bingoアプリ
運営","Bingoアプリ
運営",,,2,17,1,,3,3,,,6,,4,2,2,2,,,,,,4,0,0,2,,,4,,,,,,29,6,,,,,,,,,,1,,,,,,,5
17:00,17:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,"調理場テント
片付け、撤収",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,閉店チェック,物品対応,閉店チェック,,閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,,,,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,院講待機,"夜ご飯準備・
管理・片付け",,,"調理場テント
片付け、撤収",,"夜ご飯準備・
管理・片付け","夜ご飯準備・
管理・片付け",,屋外巡回,,"調理場テント
片付け、撤収",院講待機,"夜ご飯準備・
管理・片付け",,"案内所
片付け","夜ご飯準備・
管理・片付け",院講待機,院講待機,"夜ご飯準備・
管理・片付け",院講待機,,ビンゴ大会運営,院講待機,"音響業者の
臨時対応",院講待機,院講待機,,院講待機,院講待機,,ビンゴ大会運営,ビンゴ大会運営,院講待機,,院講待機,,院講待機,院講待機,カメラ巡回,"案内所
片付け",,"調理場テント
片付け、撤収",院講待機,ビンゴ受付,ビンゴ受付,駐車場管理,院講待機,"案内所
片付け",ビンゴ受付,屋内巡回,院講待機,屋内巡回,"案内所
片付け",カメラ巡回,院講待機,院講管理,院講待機,カメラ巡回,ビンゴ大会運営,"Bingoアプリ
運営",ビンゴ大会運営,,"調理場テント
片付け、撤収",ビンゴ受付,"案内所
片付け","調理場テント
片付け、撤収",駐車場管理,"案内所
片付け",ビンゴ受付,"Bingoアプリ
運営",ビンゴ受付,カメラ巡回,駐車場管理,屋外巡回,院講待機,"Bingoアプリ
運営",駐車場管理,"Bingoアプリ
運営","Bingoアプリ
運営",,,0,20,1,,,,6,,6,,4,,,,,,,,,4,0,0,2,,,4,,,,,,34,6,,,,,,,6,,,1,0,,,,,,5
17:30,18:00,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,"ゴミコンテナ
待機",閉店チェック,閉店チェック,閉店チェック,"調理場テント
片付け、撤収",閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,閉店チェック,物品対応,閉店チェック,,閉店チェック,閉店チェック,閉店チェック,閉店チェック,閉店チェック,,,,,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,院講待機,"夜ご飯準備・
管理・片付け",,,"調理場テント
片付け、撤収",,"夜ご飯準備・
管理・片付け","夜ケータリング
受け渡し",,屋外巡回,,"調理場テント
片付け、撤収",院講待機,"夜ご飯準備・
管理・片付け",,"案内所
片付け","夜ご飯準備・
管理・片付け","夜ケータリング
受け渡し",院講待機,"夜ご飯準備・
管理・片付け",院講待機,,ビンゴ大会運営,院講待機,"音響業者の
臨時対応",院講待機,院講待機,,院講待機,院講待機,,ビンゴ大会運営,ビンゴ大会運営,院講待機,,院講待機,,院講待機,院講待機,カメラ巡回,"案内所
片付け",,"調理場テント
片付け、撤収",駐車場管理,院講待機,院講待機,院講待機,院講待機,"案内所
片付け",院講待機,屋内巡回,院講待機,屋内巡回,"案内所
片付け",カメラ巡回,駐車場管理,院講管理,院講待機,カメラ巡回,ビンゴ大会運営,"Bingoアプリ
運営",ビンゴ大会運営,,"調理場テント
片付け、撤収",院講待機,"案内所
片付け","調理場テント
片付け、撤収",院講待機,"案内所
片付け",院講待機,"Bingoアプリ
運営",院講待機,カメラ巡回,駐車場管理,屋外巡回,院講待機,"Bingoアプリ
運営",駐車場管理,"Bingoアプリ
運営","Bingoアプリ
運営",,,0,25,1,,,,6,,6,,4,,,,,,,,,4,0,0,2,,,4,,,,,,34,0,,,,,,2,5,,,1,0,,,,,,5
18:00,18:30,本部指揮,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,院講待機,"夜ご飯準備・
管理・片付け",,,院講待機,,"夜ご飯準備・
管理・片付け","夜ご飯準備・
管理・片付け",,院講待機,,院講待機,院講待機,"夜ご飯準備・
管理・片付け",院講待機,院講待機,"夜ご飯準備・
管理・片付け",院講待機,院講待機,"夜ご飯準備・
管理・片付け",屋外巡回,,ビンゴ大会運営,院講待機,"音響業者の
臨時対応",院講待機,屋外巡回,,院講待機,駐車場管理,,ビンゴ大会運営,ビンゴ大会運営,院講待機,,院講待機,,カメラ巡回,屋内巡回,院講待機,院講待機,,院講待機,駐車場管理,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,駐車場管理,院講管理,屋内巡回,院講待機,ビンゴ大会運営,"Bingoアプリ
運営",ビンゴ大会運営,,院講待機,カメラ巡回,カメラ巡回,カメラ巡回,院講待機,院講待機,院講待機,"Bingoアプリ
運営",院講待機,院講待機,,院講待機,駐車場管理,"Bingoアプリ
運営",院講待機,"Bingoアプリ
運営","Bingoアプリ
運営",,,0,37,1,,,,,,,,4,,,,,,,,,4,0,0,,,,4,,,,,,34,,,,,,,,6,,,1,0,,,,,,5
18:30,19:00,開会式運営,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,開会式運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,音響テント待機,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,ビンゴ大会運営,開会式運営,駐車場管理,"夜ご飯準備・
管理・片付け",,,院講待機,,"夜ご飯準備・
管理・片付け","夜ご飯準備・
管理・片付け",,院講待機,,院講待機,駐車場管理,"夜ご飯準備・
管理・片付け",院講待機,院講待機,"夜ご飯準備・
管理・片付け",院講待機,院講待機,"夜ご飯準備・
管理・片付け",屋外巡回,,ビンゴ大会運営,院講待機,"音響業者の
臨時対応",院講待機,屋外巡回,,院講待機,駐車場管理,,ビンゴ大会運営,ビンゴ大会運営,院講待機,,院講待機,,カメラ巡回,屋内巡回,院講待機,院講待機,,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講待機,院講管理,屋内巡回,院講待機,ビンゴ大会運営,"Bingoアプリ
運営",ビンゴ大会運営,,院講待機,カメラ巡回,カメラ巡回,カメラ巡回,院講待機,院講待機,院講待機,"Bingoアプリ
運営",院講待機,院講待機,,院講待機,駐車場管理,"Bingoアプリ
運営",院講待機,"Bingoアプリ
運営","Bingoアプリ
運営",,,0,37,1,,,,,,,,4,,,,,,,,,4,0,0,,,0,3,,,,,,,,,,,,,,6,,,1,0,,,,,,5
19:00,19:30,閉会式運営,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,閉会式運営,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,閉会式運営,駐車場管理,"夜ご飯準備・
管理・片付け",,,駐車場管理,,"夜ご飯準備・
管理・片付け","夜ご飯準備・
管理・片付け",,"休憩所
片付け",,駐車場管理,駐車場管理,"夜ご飯準備・
管理・片付け",夕食,夕食,"夜ご飯準備・
管理・片付け",夕食,夕食,"夜ご飯準備・
管理・片付け","休憩所
片付け",,夕食,"地域他大テント
片付け",夕食,"地域他大テント
片付け",夕食,,夕食,夕食,,夕食,夕食,"休憩所
片付け",,"地域他大テント
片付け",,夕食,夕食,"地域他大テント
片付け","地域他大テント
片付け",,"地域他大テント
片付け",,"会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ","会場装飾
立ち下げ",夕食,"休憩所
片付け","休憩所
片付け",夕食,夕食,夕食,,"ごみ箱テント
片付け",夕食,夕食,夕食,"ごみ箱テント
片付け","ごみ箱テント
片付け","ごみ箱テント
片付け",夕食,"ごみ箱テント
片付け","ごみ箱テント
片付け",,夕食,夕食,夕食,"休憩所
片付け",夕食,夕食,,,,,,,,,,,,,4,,,,6,6,6,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,12,
19:30,20:00,,本部指揮補佐,本部指揮補佐,本部指揮補佐,本部指揮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,駐車場管理,"夜ご飯準備・
管理・片付け",,,駐車場管理,,"夜ご飯準備・
管理・片付け","夜ご飯準備・
管理・片付け",,"休憩所
片付け",,駐車場管理,駐車場管理,"夜ご飯準備・
管理・片付け",夕食,夕食,"夜ご飯準備・
管理・片付け",夕食,夕食,"夜ご飯準備・
管理・片付け","休憩所
片付け",,夕食,"地域他大テント
片付け",夕食,"地域他大テント
片付け",夕食,,夕食,夕食,,夕食,夕食,"休憩所
片付け",,"地域他大テント
片付け",,夕食,夕食,"地域他大テント
片付け","地域他大テント
片付け",,"地域他大テント
片付け",,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,"休憩所
片付け","休憩所
片付け",夕食,夕食,夕食,,"ごみ箱テント
片付け",夕食,夕食,夕食,"ごみ箱テント
片付け","ごみ箱テント
片付け","ごみ箱テント
片付け",夕食,"ごみ箱テント
片付け","ごみ箱テント
片付け",,夕食,夕食,夕食,"休憩所
片付け",夕食,夕食,,,,,,,,,,,,,4,,,,6,6,6,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
20:00,20:30,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,,夕食,夕食,,,夕食,夕食,夕食,夕食,夕食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕食,夕食,,,夕食,,夕食,夕食,,夕食,,夕食,夕食,夕食,,,夕食,,,夕食,夕食,,,夕食,,夕食,,,,,,,,夕食,,夕食,,,,夕食,夕食,,夕食,,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,,夕食,夕食,,,,,夕食,,,,夕食,夕食,夕食,,夕食,夕食,,,,,夕食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
20:30,21:00,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,夕食,,夕食,夕食,,,夕食,夕食,夕食,夕食,夕食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕食,夕食,,,夕食,,夕食,夕食,,夕食,,夕食,夕食,夕食,,,夕食,,,夕食,夕食,,,夕食,,夕食,,,,,,,,夕食,,夕食,,,,夕食,夕食,,夕食,,,,,,,,,,,,,,,夕食,夕食,,,,,夕食,,,,夕食,夕食,夕食,,夕食,夕食,,,,,夕食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
21:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ユニフォーム
洗濯","ユニフォーム
洗濯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
21:30,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ユニフォーム
洗濯","ユニフォーム
洗濯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
22:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
22:30,23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,4,0,2,3,0,4,0,4,3,0,2,4,0,5,4,2,6,0,0,5,0,5,4,0,4,6,0,0,0,8,0,6,0,4,4,6,8,0,2,2,5,7,6,4,3,3,2,6,2,6,4,2,0,3,6,0,4,2,0,4,3,4,3,4,4,3,0,5,5,2,5,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,